# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9323
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -63.0029   94.8857
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      2.955014    -62.999600
      2.959274    -62.999600
      2.963534    -62.999600
      2.967794    -62.999600
      2.972055    -62.999600
      2.976315    -62.999700
      2.980575    -62.999700
      2.984835    -62.999700
      2.989096    -62.999700
      2.993356    -62.999700
      2.997616    -62.999700
      3.001876    -62.999700
      3.006136    -62.999700
      3.010397    -62.999700
      3.014657    -62.999700
      3.018917    -62.999700
      3.023177    -62.999700
      3.027438    -62.999700
      3.031698    -62.999700
      3.035958    -62.999800
      3.040218    -62.999800
      3.044479    -62.999800
      3.048752    -62.999800
      3.053025    -62.999800
      3.057298    -62.999700
      3.061571    -62.999700
      3.065843    -62.999700
      3.070116    -62.999700
      3.074389    -62.999700
      3.078662    -62.999700
      3.082935    -62.999700
      3.087208    -62.999700
      3.091481    -62.999700
      3.095754    -62.999700
      3.100027    -62.999700
      3.104300    -62.999700
      3.108573    -62.999700
      3.112846    -62.999700
      3.117119    -62.999600
      3.121392    -62.999600
      3.125665    -62.999600
      3.129938    -62.999600
      3.134211    -62.999600
      3.138484    -62.999600
      3.142757    -62.999500
      3.147030    -62.999500
      3.151303    -62.999500
      3.155576    -62.999500
      3.159849    -62.999500
      3.164122    -62.999400
      3.168395    -62.999400
      3.172668    -62.999400
      3.176941    -62.999400
      3.181214    -62.999400
      3.185487    -62.999300
      3.189760    -62.999300
      3.194033    -62.999300
      3.198306    -62.999300
      3.202578    -62.999200
      3.206851    -62.999200
      3.211124    -62.999200
      3.215397    -62.999200
      3.219670    -62.999100
      3.223943    -62.999100
      3.228216    -62.999100
      3.232489    -62.999000
      3.236762    -62.999000
      3.241035    -62.999000
      3.245308    -62.998900
      3.249581    -62.998900
      3.253854    -62.998900
      3.258127    -62.998800
      3.262400    -62.998800
      3.266673    -62.998800
      3.270946    -62.998700
      3.275219    -62.998700
      3.279492    -62.998700
      3.283765    -62.998600
      3.288038    -62.998600
      3.292311    -62.998600
      3.296584    -62.998500
      3.300857    -62.998500
      3.305130    -62.998500
      3.309403    -62.998400
      3.313676    -62.998400
      3.317949    -62.998300
      3.322222    -62.998300
      3.326495    -62.998300
      3.330768    -62.998200
      3.335041    -62.998200
      3.339313    -62.998200
      3.343586    -62.998100
      3.347859    -62.998100
      3.352132    -62.998000
      3.356405    -62.998000
      3.360678    -62.998000
      3.364951    -62.997900
      3.369224    -62.997900
      3.373497    -62.997900
      3.377770    -62.997800
      3.382043    -62.997800
      3.386316    -62.997700
      3.390589    -62.997700
      3.394862    -62.997700
      3.399135    -62.997600
      3.403408    -62.997600
      3.407681    -62.997600
      3.411954    -62.997500
      3.416227    -62.997500
      3.420500    -62.997500
      3.424773    -62.997400
      3.429046    -62.997400
      3.433319    -62.997400
      3.437592    -62.997300
      3.441865    -62.997300
      3.446138    -62.997300
      3.450411    -62.997200
      3.454684    -62.997200
      3.458957    -62.997200
      3.463230    -62.997100
      3.467503    -62.997100
      3.471776    -62.997100
      3.476048    -62.997100
      3.480321    -62.997000
      3.484594    -62.997000
      3.488867    -62.997000
      3.493140    -62.997000
      3.497413    -62.996900
      3.501686    -62.996900
      3.505959    -62.996900
      3.510232    -62.996900
      3.514505    -62.996800
      3.518778    -62.996800
      3.523051    -62.996800
      3.527324    -62.996800
      3.531597    -62.996800
      3.535870    -62.996800
      3.540143    -62.996700
      3.544416    -62.996700
      3.548689    -62.996700
      3.552962    -62.996700
      3.557235    -62.996700
      3.561508    -62.996700
      3.565781    -62.996600
      3.570054    -62.996600
      3.574327    -62.996600
      3.578600    -62.996600
      3.582873    -62.996600
      3.587146    -62.996600
      3.591419    -62.996600
      3.595692    -62.996600
      3.599965    -62.996600
      3.604238    -62.996600
      3.608511    -62.996500
      3.612783    -62.996500
      3.617056    -62.996500
      3.621329    -62.996500
      3.625602    -62.996500
      3.629875    -62.996500
      3.634148    -62.996500
      3.638421    -62.996500
      3.642694    -62.996500
      3.646967    -62.996500


      0.000000    -39.454900
      0.004260    -39.454900
      0.008520    -39.455100
      0.012781    -39.455300
      0.017041    -39.455700
      0.021301    -39.456100
      0.025561    -39.456700
      0.029822    -39.457300
      0.034082    -39.458100
      0.038342    -39.458900
      0.042602    -39.459800
      0.046863    -39.460800
      0.051123    -39.461800
      0.055383    -39.463000
      0.059643    -39.464200
      0.063904    -39.465500
      0.068164    -39.466800
      0.072424    -39.468200
      0.076684    -39.469600
      0.080945    -39.471100
      0.085205    -39.472700
      0.089465    -39.474300
      0.093725    -39.475900
      0.097985    -39.477600
      0.102246    -39.479300
      0.106506    -39.481100
      0.110766    -39.482900
      0.115026    -39.484700
      0.119287    -39.486500
      0.123547    -39.488400
      0.127807    -39.490200
      0.132067    -39.492100
      0.136328    -39.494100
      0.140588    -39.496000
      0.144848    -39.497900
      0.149108    -39.499900
      0.153369    -39.501800
      0.157629    -39.503800
      0.161889    -39.505800
      0.166149    -39.507700
      0.170410    -39.509700
      0.174670    -39.511700
      0.178930    -39.513600
      0.183190    -39.515600
      0.187450    -39.517600
      0.191711    -39.519500
      0.195971    -39.521500
      0.200231    -39.523400
      0.204491    -39.525300
      0.208752    -39.527300
      0.213012    -39.529200
      0.217272    -39.531100
      0.221532    -39.532900
      0.225793    -39.534800
      0.230053    -39.536600
      0.234313    -39.538400
      0.238573    -39.540200
      0.242834    -39.542000
      0.247094    -39.543800
      0.251354    -39.545500
      0.255614    -39.547200
      0.259875    -39.548900
      0.264135    -39.550500
      0.268395    -39.552100
      0.272655    -39.553700
      0.276915    -39.555300
      0.281176    -39.556800
      0.285436    -39.558300
      0.289696    -39.559700
      0.293956    -39.561200
      0.298217    -39.562600
      0.302477    -39.563900
      0.306737    -39.565200
      0.310997    -39.566500
      0.315258    -39.567700
      0.319518    -39.568900
      0.323778    -39.570100
      0.328038    -39.571200
      0.332299    -39.572300
      0.336559    -39.573300
      0.340819    -39.574300
      0.345079    -39.575300
      0.349340    -39.576200
      0.353600    -39.577000
      0.357860    -39.577800
      0.362120    -39.578600
      0.366380    -39.579300
      0.370641    -39.580000
      0.374901    -39.580600
      0.379161    -39.581200
      0.383421    -39.581700
      0.387682    -39.582200
      0.391942    -39.582600
      0.396202    -39.583000
      0.400462    -39.583300
      0.404723    -39.583600
      0.408983    -39.583900
      0.413243    -39.584000
      0.417503    -39.584200
      0.421764    -39.584300
      0.426024    -39.584300
      0.430284    -39.584300
      0.434544    -39.584300
      0.438805    -39.584200
      0.443065    -39.584100
      0.447325    -39.584000
      0.451585    -39.583900
      0.455845    -39.583700
      0.460106    -39.583500
      0.464366    -39.583300
      0.468626    -39.583100
      0.472886    -39.582800
      0.477147    -39.582600
      0.481407    -39.582200
      0.485667    -39.581900
      0.489927    -39.581600
